Dist Name,Crop,Area(1000 ha),Production(1000 tons),Total Rainfall,Avg Temp
Ahmednagar,RICE,10.3,12.6,261.0,20.586875
Ahmednagar,KHARIF SORGHUM,5.5,6.7,261.0,20.586875
Ahmednagar,PEARL MILLET,343.3,191.4,261.0,20.586875
Ahmednagar,MAIZE,10.4,15.6,261.0,20.586875
Ahmednagar,FINGER MILLET,3.6,2.9,261.0,20.586875
Ahmednagar,PIGEONPEA,21.3,7.7,261.0,20.586875
Ahmednagar,MINOR PULSES,45.7,8.4,261.0,20.586875
Ahmednagar,GROUNDNUT,15.0,26.4,261.0,20.586875
Ahmednagar,SESAMUM,1.3,0.2,261.0,20.586875
Ahmednagar,SUNFLOWER,15.7,7.7,261.0,20.586875
Ahmednagar,SOYABEAN,3.8,3.1,261.0,20.586875
Ahmednagar,OILSEEDS,84.9,56.7,261.0,20.586875
Ahmednagar,SUGARCANE,42.3,368.09,261.0,20.586875
Ahmednagar,COTTON,4.1,1.28,261.0,20.586875
Ahmednagar,RICE,10.3,12.6,261.0,20.586875
Ahmednagar,KHARIF SORGHUM,5.5,6.7,261.0,20.586875
Ahmednagar,PEARL MILLET,343.3,191.4,261.0,20.586875
Ahmednagar,MAIZE,10.4,15.6,261.0,20.586875
Ahmednagar,FINGER MILLET,3.6,2.9,261.0,20.586875
Ahmednagar,PIGEONPEA,21.3,7.7,261.0,20.586875
Ahmednagar,MINOR PULSES,45.7,8.4,261.0,20.586875
Ahmednagar,GROUNDNUT,15.0,26.4,261.0,20.586875
Ahmednagar,SESAMUM,1.3,0.2,261.0,20.586875
Ahmednagar,SUNFLOWER,15.7,7.7,261.0,20.586875
Ahmednagar,SOYABEAN,3.8,3.1,261.0,20.586875
Ahmednagar,OILSEEDS,84.9,56.7,261.0,20.586875
Ahmednagar,SUGARCANE,42.3,368.09,261.0,20.586875
Ahmednagar,COTTON,4.1,1.28,261.0,20.586875
Akola,RICE,3.3,1.8,384.2,22.08
Akola,KHARIF SORGHUM,207.7,311.2,384.2,22.08
Akola,PEARL MILLET,5.0,2.1,384.2,22.08
Akola,MAIZE,0.8,1.2,384.2,22.08
Akola,FINGER MILLET,0.0,0.0,384.2,22.08
Akola,PIGEONPEA,80.1,63.5,384.2,22.08
Akola,MINOR PULSES,212.5,87.9,384.2,22.08
Akola,GROUNDNUT,3.7,2.3,384.2,22.08
Akola,SESAMUM,6.0,2.0,384.2,22.08
Akola,SUNFLOWER,18.7,4.2,384.2,22.08
Akola,SOYABEAN,40.5,49.6,384.2,22.08
Akola,OILSEEDS,107.8,56.0,384.2,22.08
Akola,SUGARCANE,2.4,25.89,384.2,22.08
Akola,COTTON,360.9,30.69,384.2,22.08
Akola,RICE,3.3,1.8,384.2,22.08
Akola,KHARIF SORGHUM,207.7,311.2,384.2,22.08
Akola,PEARL MILLET,5.0,2.1,384.2,22.08
Akola,MAIZE,0.8,1.2,384.2,22.08
Akola,FINGER MILLET,0.0,0.0,384.2,22.08
Akola,PIGEONPEA,80.1,63.5,384.2,22.08
Akola,MINOR PULSES,212.5,87.9,384.2,22.08
Akola,GROUNDNUT,3.7,2.3,384.2,22.08
Akola,SESAMUM,6.0,2.0,384.2,22.08
Akola,SUNFLOWER,18.7,4.2,384.2,22.08
Akola,SOYABEAN,40.5,49.6,384.2,22.08
Akola,OILSEEDS,107.8,56.0,384.2,22.08
Akola,SUGARCANE,2.4,25.89,384.2,22.08
Akola,COTTON,360.9,30.69,384.2,22.08
Amarawati,RICE,9.0,5.5,651.0,21.5434375
Amarawati,KHARIF SORGHUM,124.4,181.3,651.0,21.5434375
Amarawati,PEARL MILLET,2.0,0.8,651.0,21.5434375
Amarawati,MAIZE,0.7,1.0,651.0,21.5434375
